,codigo_iccs,subtipo_objeto_robado,nombre_objeto,cantidad,calibre,clase_arma,calidad_de,fabricacion,fecha_evento,hora_evento,tipo_lugar,lugar,codigo_zona,codigo_distrito,codigo_circuito,codigo_subcircuito,nombre_zona,nombre_distrito,nombre_circuito,nombre_subcircuito,codigo_provincia,codigo_canton,codigo_parroquia,nombre_provincia,nombre_canton,nombre_parroquia,tipo_delito
632,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,RECUPERADO,ARTESANAL,20/1/2024,15:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 1,21D03,21D03C04,21D03C04S01,ZONA 1,PUTUMAYO,PUERTO DEL CARMEN,PUERTO DEL CARMEN 1,21,2103,210350,SUCUMBIOS,PUTUMAYO,PUERTO EL CARMEN DEL PUTUMAYO,DELITOS CONTRA PERSONAS Y BIENES PROTEGIDOS POR EL DERECHO INTERNACIONAL HUMANITARIO
633,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,SE DESCONOCE,APREHENDIDO,ARTESANAL,20/1/2024,15:00,CENTRO DE PRIVACIÓN PROVISIONAL DE LIBERTAD (CPPL),CPPL MIXTO-ARCHIDONA,ZONA 2,15D01,15D01C01,15D01C01S01,ZONA 2,TENA,ARCHIDONA,ARCHIDONA 1,15,1503,150350,NAPO,ARCHIDONA,ARCHIDONA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
634,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,SE DESCONOCE,APREHENDIDO,IMPORTADA,20/1/2024,15:00,CENTRO DE PRIVACIÓN PROVISIONAL DE LIBERTAD (CPPL),CPPL MIXTO-ARCHIDONA,ZONA 2,15D01,15D01C01,15D01C01S01,ZONA 2,TENA,ARCHIDONA,ARCHIDONA 1,15,1503,150350,NAPO,ARCHIDONA,ARCHIDONA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
635,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,AUTOMÁTICO,APREHENDIDO,IMPORTADA,20/1/2024,15:00,CENTRO DE PRIVACIÓN PROVISIONAL DE LIBERTAD (CPPL),CPPL MIXTO-ARCHIDONA,ZONA 2,15D01,15D01C01,15D01C01S01,ZONA 2,TENA,ARCHIDONA,ARCHIDONA 1,15,1503,150350,NAPO,ARCHIDONA,ARCHIDONA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
636,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,AUTOMÁTICO,APREHENDIDO,IMPORTADA,20/1/2024,15:00,CENTRO DE PRIVACIÓN PROVISIONAL DE LIBERTAD (CPPL),CPPL MIXTO-ARCHIDONA,ZONA 2,15D01,15D01C01,15D01C01S01,ZONA 2,TENA,ARCHIDONA,ARCHIDONA 1,15,1503,150350,NAPO,ARCHIDONA,ARCHIDONA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
637,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,IMPORTADA,20/1/2024,9:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D06,09D06C03,09D06C03S01,ZONA 8,FLORIDA,SAMANES,SAMANES 1,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA LA SEGURIDAD PÚBLICA
638,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,DECOMISO,ARTESANAL,20/1/2024,13:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 8,09D05,09D05C02,09D05C02S02,ZONA 8,MODELO,SAUCES,SAUCES 2,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA EL DERECHO A LA PROPIEDAD
639,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,IMPORTADA,20/1/2024,12:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 8,09D01,09D01C02,09D01C02S03,ZONA 8,SUR,UNION DE BANANEROS,UNION DE BANANEROS 3,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
640,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SE DESCONOCE,APREHENDIDO,IMPORTADA,20/1/2024,17:00,ÁREAS DE ACCESO PUBLICO,PARQUE Y PLAZA,ZONA 8,09D03,09D03C05,09D03C05S03,ZONA 8,9 DE OCTUBRE,VENEZUELA,VENEZUELA 3,9,901,90150,GUAYAS,GUAYAQUIL,GUAYAQUIL,DELITOS CONTRA EL DERECHO A LA PROPIEDAD
641,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,INCAUTADA,IMPORTADA,20/1/2024,17:15,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,23D03,23D03C01,23D03C01S01,ZONA 4,LA CONCORDIA,CONCORDIA NORTE,CONCORDIA NORTE 1,23,808,80850,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,LA CONCORDIA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
642,05.02.007,ARMA DE FUEGO,ESCOPETA,1,OTRO,TIRO A TIRO,INCAUTADA,ARTESANAL,20/1/2024,17:15,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,23D03,23D03C01,23D03C01S01,ZONA 4,LA CONCORDIA,CONCORDIA NORTE,CONCORDIA NORTE 1,23,808,80850,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,LA CONCORDIA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
643,05.02.007,ARMA DE FUEGO,ESCOPETA,1,OTRO,SE DESCONOCE,APREHENDIDO,ARTESANAL,20/1/2024,12:00,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 5,24D02,24D02C04,24D02C04S01,ZONA 5,LIBERTAD SALINAS,ENRIQUEZ GALLO,ENRIQUEZ GALLO 1,24,2402,240250,SANTA ELENA,LA LIBERTAD,LA LIBERTAD,DELITOS CONTRA LA SEGURIDAD PÚBLICA
644,05.02.004,ARMA DE FUEGO,CARABINAS,1,.44,TIRO A TIRO,APREHENDIDO,IMPORTADA,20/1/2024,14:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 9,17D09,17D09C04,17D09C04S01,ZONA 9,TUMBACO,CUMBAYA SUR,CUMBAYA SUR 1,17,1701,170157,PICHINCHA,QUITO,CUMBAYA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
645,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,APREHENDIDO,IMPORTADA,20/1/2024,14:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 9,17D09,17D09C04,17D09C04S01,ZONA 9,TUMBACO,CUMBAYA SUR,CUMBAYA SUR 1,17,1701,170157,PICHINCHA,QUITO,CUMBAYA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
646,05.02.007,ARMA DE FUEGO,ESCOPETA,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,20/1/2024,18:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 5,09D18,09D18C01,09D18C01S02,ZONA 5,NARANJITO MARCELINO MARIDUEÑA,NARANJITO ESTE,NARANJITO ESTE 2,9,912,91250,GUAYAS,NARANJITO,NARANJITO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
647,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,APREHENDIDO,ARTESANAL,20/1/2024,18:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 5,09D18,09D18C01,09D18C01S02,ZONA 5,NARANJITO MARCELINO MARIDUEÑA,NARANJITO ESTE,NARANJITO ESTE 2,9,912,91250,GUAYAS,NARANJITO,NARANJITO,DELITOS CONTRA LA SEGURIDAD PÚBLICA
648,05.02.013,ARMA DE FUEGO,PISTOLAS,1,OTRO,SEMI AUTOMÁTICO,APREHENDIDO,ARTESANAL,20/1/2024,18:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,13D03,13D03C11,13D03C11S01,ZONA 4,JIPIJAPA,PUERTO LOPEZ,PUERTO LOPEZ 1,13,1319,131950,MANABI,PUERTO LOPEZ,PUERTO LOPEZ,DELITOS CONTRA LA SEGURIDAD PÚBLICA
649,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,20/1/2024,18:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,13D03,13D03C11,13D03C11S01,ZONA 4,JIPIJAPA,PUERTO LOPEZ,PUERTO LOPEZ 1,13,1319,131950,MANABI,PUERTO LOPEZ,PUERTO LOPEZ,DELITOS CONTRA LA SEGURIDAD PÚBLICA
650,05.02.004,ARMA DE FUEGO,CARABINAS,1,OTRO,TIRO A TIRO,APREHENDIDO,ARTESANAL,20/1/2024,18:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,13D03,13D03C11,13D03C11S01,ZONA 4,JIPIJAPA,PUERTO LOPEZ,PUERTO LOPEZ 1,13,1319,131950,MANABI,PUERTO LOPEZ,PUERTO LOPEZ,DELITOS CONTRA LA SEGURIDAD PÚBLICA
651,05.02.001,ARMA DE FUEGO,AMETRALLADORAS,1,9 mm,AUTOMÁTICO,APREHENDIDO,ARTESANAL,20/1/2024,18:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,13D03,13D03C11,13D03C11S01,ZONA 4,JIPIJAPA,PUERTO LOPEZ,PUERTO LOPEZ 1,13,1319,131950,MANABI,PUERTO LOPEZ,PUERTO LOPEZ,DELITOS CONTRA LA SEGURIDAD PÚBLICA
652,05.02.015,ARMA DE FUEGO,REVÓLVERES,1,.38,TIRO A TIRO,RETENIDO,ARTESANAL,20/1/2024,21:45,ÁREAS DE ACCESO PUBLICO,PARQUE Y PLAZA,ZONA 5,24D02,24D02C01,24D02C01S02,ZONA 5,LIBERTAD SALINAS,LIBERTAD CENTRO,LIBERTAD CENTRO 2,24,2402,240250,SANTA ELENA,LA LIBERTAD,LA LIBERTAD,DELITOS CONTRA LA SEGURIDAD PÚBLICA
653,05.02.006,ARMA DE FUEGO,CARTUCHERAS,1,OTRO,TIRO A TIRO,INCAUTADA,ARTESANAL,20/1/2024,17:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,13D09,13D09C01,13D09C01S01,ZONA 4,PAJAN,MONUMENTOS,MONUMENTOS 1,13,1310,131050,MANABI,PAJAN,PAJAN,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
654,05.02.006,ARMA DE FUEGO,CARTUCHERAS,1,OTRO,TIRO A TIRO,INCAUTADA,ARTESANAL,20/1/2024,17:00,ÁREA PRIVADA,ESPACIO PRIVADO,ZONA 4,13D09,13D09C01,13D09C01S01,ZONA 4,PAJAN,MONUMENTOS,MONUMENTOS 1,13,1310,131050,MANABI,PAJAN,PAJAN,DELITOS POR LA PRODUCCIÓN O TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN
655,05.02.013,ARMA DE FUEGO,PISTOLAS,1,9 mm,SEMI AUTOMÁTICO,APREHENDIDO,ARTESANAL,20/1/2024,23:10,ÁREAS DE ACCESO PUBLICO,VÍA PÚBLICA,ZONA 3,05D02,05D02C03,05D02C03S02,ZONA 3,LA MANA,LA MANA SUR,LA MANA SUR 2,5,502,50250,COTOPAXI,LA MANA,LA MANA,DELITOS CONTRA LA SEGURIDAD PÚBLICA
