,Column1,Nombre Común,Nombre Inglés,Nombre Portugués,Nombre Científico,Registros
240,241,Vuelvepiedras,Ruddy Turnstone,Vira-pedras,Arenaria interpres,30
241,242,Playero de Rompiente,Surfbird,No Existe Registro,Calidris virgata,1
242,243,Playerito Zancudo,Stilt Sandpiper,Maçarico-pernilongo,Calidris himantopus,2
243,244,Playerito Blanco,Sanderling,Maçarico-branco,Calidris alba,15
244,245,Playerito Menor,Least Sandpiper,Maçariquinho,Calidris minutilla,10
245,246,Playerito Rabadilla Blanca,White-rumped Sandpiper,Maçarico-de-sobre-branco,Calidris fuscicollis,1
246,247,Playerito Enano,Semipalmated Sandpiper,Maçarico-rasteirinho,Calidris pusilla,5
247,248,Playerito de Alaska,Western Sandpiper,No Existe Registro,Calidris mauri,3
248,249,Becasa Gris,Short-billed Dowitcher,Maçarico-de-costas-brancas,Limnodromus griseus,2
249,250,Falaropo Común,Wilson´s Phalarope,Pisa-n´água,Phalaropus tricolor,3
250,251,Falaropo Pico Fino,Red-necked Phalarope,No Existe Registro,Phalaropus lobatus,2
251,252,Falaropo Pico Grueso,Red Phalarope,Falaropo-de-bico-grosso,Phalaropus fulicarius,3
252,253,Playerito Manchado,Spotted Sandpiper,Maçarico-pintado,Actitis macularius,29
253,254,Playero de Alaska,Wandering Tattler,No Existe Registro,Tringa incana,10
254,255,Playero Ala Blanca,Willet,Maçarico-de-asa-branca,Tringa semipalmata,5
255,256,Pitotoy Chico,Lesser Yellowlegs,Maçarico-de-perna-amarela,Tringa flavipes,5
256,257,Pitotoy Grande,Greater Yellowlegs,Maçarico-grande-de-perna-amarela,Tringa melanoleuca,5
257,258,Gaviotín de San Félix,Brown Noddy,Trinta-réis-escuro,Anous stolidus,30
258,259,Gaviota de Cola Bifurcada,Swallow-tailed Gull,No Existe Registro,Creagrus furcatus,21
259,260,Gaviota de Sabine,Sabine´s Gull,Gaivota-de-sabine,Xema sabini,2
260,261,Gaviota de Bonaparte,Bonaparte´s Gull,No Existe Registro,Larus philadelphia,1
261,262,Gaviota Andina,Andean Gull,No Existe Registro,Larus serranus,4
262,263,Gaviota Capucho Gris,Grey-headed Gull,Gaivota-de-cabeça-cinza,Larus cirrocephalus,7
263,264,Gaviota Garuma,Grey Gull,No Existe Registro,Larus modestus,6
264,265,Gaviota Chica,Franklin´s Gull,Gaivota-de-franklin,Larus pipixcan,7
265,266,Gaviota Reidora Americana,Laughing Gull,Gaivota-alegre,Larus atricilla,14
266,267,Gaviota de Lava,Lava Gull,No Existe Registro,Larus fuliginosus,39
267,268,Gaviota Cocinera,Kelp Gull,Gaivotão,Larus dominicanus,8
268,269,Gaviotín Chico Boreal,Least Tern,Trinta-réis-miúdo,Sternula antillarum,1
269,270,Atí,Large-billed Tern,Trinta-réis-grande,Phaetusa simplex,2
270,271,Gaviotín Pico Grueso,Common Gull-billed Tern,Trinta-réis-de-bico-preto,Gelochelidon nilotica,1
271,272,Zarcillo,Inca Tern,No Existe Registro,Larosterna inca,1
272,273,Gaviotín Negro,Black Tern,Trinta-réis-negro,Chlidonias niger,2
273,274,Gaviotín Sudamericano,South American Tern,Trinta-réis-de-bico-vermelho,Sterna hirundinacea,1
274,275,Gaviotín Golondrina,Common Tern,Trinta-réis-boreal,Sterna hirundo,5
275,276,Gaviotín Elegante,Elegant Tern,No Existe Registro,Thalasseus elegans,8
276,277,Gaviotín Pico Amarillo,Sandwich Tern,No Existe Registro,Thalasseus sandvicensis,6
277,278,Gaviotín Real,Royal Tern,Trinta-réis-real,Thalasseus maximus,12
278,279,Salteador Parásito,Arctic Jaeger,Mandrião-parasítico,Stercorarius parasiticus,2
279,280,Salteador Pomarino,Pomarine Jaeger,Mandrião-pomarino,Stercorarius pomarinus,1
280,281,Jote Cabeza Colorada,Turkey Vulture,Urubu-de-cabeça-vermelha,Cathartes aura,44
281,282,Aura Selvática,Greater Yellow-headed Vulture,Urubu-da-mata,Cathartes melambrotus,7
282,283,Jote Cabeza Negra,American Black Vulture,Urubu-preto,Coragyps atratus,50
283,284,Jote Real,King Vulture,Urubu-rei,Sarcoramphus papa,5
284,285,Cóndor Andino,Andean Condor,Condor-dos-andes,Vultur gryphus,3
285,286,Águila Pescadora,Osprey,Águia-pescadora,Pandion haliaetus,13
286,287,Milano Chico,Pearl Kite,Gaviãozinho,Gampsonyx swainsonii,4
287,288,Milano Blanco,White-tailed Kite,Gavião-peneira,Elanus leucurus,5
288,289,Milano Pico Garfio,Hook-billed Kite,Caracoleiro,Chondrohierax uncinatus,10
289,290,Milano Tijereta,Swallow-tailed Kite,Gavião-tesoura,Elanoides forficatus,13
290,291,Águila Monera,Crested Eagle,Uiraçu-falso,Morphnus guianensis,1
291,292,Águila Harpía,Harpy Eagle,Gavião-real,Harpia harpyja,1
292,293,Águila Poma,Black-and-chestnut Eagle,No Existe Registro,Spizaetus isidori,2
293,294,Gavilán Gorgirrayado,Double-toothed Kite,Gavião-ripina,Harpagus bidentatus,2
294,295,Gavilán Patas Largas,Crane Hawk,Gavião-pernilongo,Geranospiza caerulescens,1
295,296,Milano Plomizo,Plumbeous Kite,Sovi,Ictinia plumbea,4
296,297,Caracolero,Snail Kite,Gavião-caramujeiro,Rostrhamus sociabilis,12
297,298,Taguató Común,Roadside Hawk,Gavião-carijó,Rupornis magnirostris,22
298,299,Gavilán Mixto,Harris´s Hawk,Gavião-asa-de-telha,Parabuteo unicinctus,6
299,300,Gavilán Pizarroso,Slate-colored Hawk,Gavião-azul,Buteogallus schistaceus,2
300,301,Gavilán Cangrejero,Common Black Hawk,Gavião-caranguejeiro-negro,Buteogallus anthracinus,2
301,302,Aguilucho Colorado,Savanna Hawk,Gaviao-caboclo,Buteogallus meridionalis,4
302,303,Águila Negra,Great Black Hawk,Gaviao-preto,Buteogallus urubitinga,1
303,304,No Existe Registro,Barred Hawk,No Existe Registro,Morphnarchus princeps,2
304,305,Aguilucho Común,Variable Hawk,Gavião-de-costas-vermelhas,Geranoaetus polyosoma,7
305,306,Águila Mora,Black-chested Buzzard-eagle,águia-chilena,Geranoaetus melanoleucus,5
306,307,No Existe Registro,Grey-backed Hawk,No Existe Registro,Pseudastur occidentalis,2
307,308,Aguilucho Gris,Grey-lined Hawk,Gavião-pedrês,Buteo nitidus,4
308,309,Aguilucho Alas Anchas,Broad-winged Hawk,Gavião-de-asa-larga,Buteo platypterus,1
309,310,Busardo de las Galápagos,Galapagos Hawk,No Existe Registro,Buteo galapagoensis,10
310,311,Quetzal Cabecidorado,Golden-headed Quetzal,No Existe Registro,Pharomachrus auriceps,12
