;Órden;Familia;Nombre Común;Nombre Inglés;Nombre Portugués;Nombre Científico;Registros
911;;;Tucán del Chocó;Choco Toucan;;Ramphastos brevis;6
912;;;;Yellow-ridged Toucan;;Ramphastos culminatus;2
913;;;Tucán de Pico Acanalado;Channel-billed Toucan;Tucano-de-bico-preto;Ramphastos vitellinus;1
914;;;Tucanete Lomirrojo;Crimson-rumped Toucanet;;Aulacorhynchus haematopygus;12
915;;;Tucanete Filicastaño;Chestnut-tipped Toucanet;;Aulacorhynchus derbianus;1
916;;;Tucán Andino Piquilaminado;Plate-billed Mountain-toucan;;Andigena laminirostris;12
917;;;Tucancillo Collaridorado;Red-billed Toucanet;Saripoca-de-coleira;Selenidera reinwardtii;2
918;;;;Humboldt´s Araçari;;Pteroglossus humboldti;7
919;;;Arasari Letreado;Lettered Araçari;Araçari-miudinho-de-bico-riscado;Pteroglossus inscriptus;1
920;;;;Pale-billed Araçari;;Pteroglossus erythropygius;14
921;;;Arasarí Fajado;Chestnut-eared Araçari;Araçari-castanho;Pteroglossus castanotis;5
922;;;Arasari Bifajeado;Many-banded Araçari;Araçari-de-cinta-dupla;Pteroglossus pluricinctus;4
923;;;Arasarí de Azara;Ivory-billed Araçari;Araçari-de-bico-de-marfim;Pteroglossus azara;2
924;;Capitonidae;Barbudo Coronirrojo;Scarlet-crowned Barbet;Capitão-de-coroa;Capito aurovirens;2
925;;;Barbudo Frentinaranja;Orange-fronted Barbet;;Capito squamatus;1
926;;;Barbudo Dorado;Gilded Barbet;Capitão-de-fronte-dourada;Capito auratus;11
927;;;Barbudo de Garganta Limón;Lemon-throated Barbet;Capitão-de-bigode-limão;Eubucco richardsoni;3
928;;;Barbudo Cabecirrojo;Red-headed Barbet;;Eubucco bourcierii;16
929;;Semnornithidae;Barbudo Tucan;Toucan Barbet;;Semnornis ramphastinus;10
930;;Picidae;Telegrafista de Lafresnaye;Lafresnaye´s Piculet;Pica-pau-anão-do-amazonas;Picumnus lafresnayi;4
931;;;Telegrafista Ecuatoriano;Ecuadorian Piculet;;Picumnus sclateri;1
932;;;Carpintero Poderoso;Powerful Woodpecker;;Campephilus pollens;3
933;;;Carpintero Garganta Negra;Crimson-crested Woodpecker;Pica-pau-de-topete-vermelho;Campephilus melanoleucos;6
934;;;Carpintero Guayaquileño;Guayaquil Woodpecker;;Campephilus gayaquilensis;10
935;;;Carpintero Dorado Común;Golden-green Woodpecker;Pica-pau-dourado-escuro;Piculus chrysochloros;2
936;;;Carpintero Dorso Carmesi;Crimson-mantled Woodpecker;;Colaptes rivolii;9
937;;;Carpintero de Pecho Punteado;Spot-breasted Woodpecker;Pica-pau-de-peito-pontilhado;Colaptes punctigula;2
938;;;Carpintero Dorado Gris;Golden-olive Woodpecker;Pica-pau-oliváceo;Colaptes rubiginosus;17
939;;;Carpintero Pechinegro Amazónico;Amazonian Black-breasted Woodpecker;;Celeus occidentalis;1
940;;;Carpintero Flavo;Cream-colored Woodpecker;Pica-pau-amarelo;Celeus flavus;1
941;;;Carpintero Elegante;Chestnut Woodpecker;Pica-pau-chocolate;Celeus elegans;1
942;;;Carpintero Garganta Estriada;Lineated Woodpecker;Pica-pau-de-banda-branca;Hylatomus lineatus;6
943;;;Carpintero Penachiamarillo;Yellow-tufted Woodpecker;Benedito-de-testa-vermelha;Melanerpes cruentatus;8
944;;;Carpintero Cara Negra;Black-cheeked Woodpecker;;Melanerpes pucherani;8
945;;;Carpintero Oliva Oscuro;Smoky-brown Woodpecker;;Leuconotopicus fumigatus;3
946;;;Carpintero Culirrrojo;Red-rumped Woodpecker;Pica-pau-de-sobre-vermelho;Veniliornis kirkii;1
947;;;Carpintero Dorsiescarlata;Scarlet-backed Woodpecker;;Veniliornis callonotus;10
948;;;Carpintero Ventriamarillo;Yellow-vented Woodpecker;;Veniliornis dignus;1
