Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
Woodbury,No,9502,7275,76.56,6770,71.25,,,12/15/2021
Woodstock,No,7858,5438,69.2,4913,62.52,,,12/15/2021
Address pending validation,,,14275,,12278,,,,12/22/2021
Andover,No,3236,2361,72.96,2195,67.83,,,12/22/2021
Ansonia,Yes,18654,12398,66.46,11342,60.8,,,12/22/2021
Ashford,No,4255,2948,69.28,2738,64.35,,,12/22/2021
Avon,No,18276,16819,92.03,15283,83.62,,,12/22/2021
Barkhamsted,No,3606,2740,75.98,2547,70.63,,,12/22/2021
Beacon Falls,No,6222,4400,70.72,4068,65.38,,,12/22/2021
Berlin,No,20436,15538,76.03,14443,70.67,,,12/22/2021
Bethany,No,5548,4349,78.39,3995,72.01,,,12/22/2021
Bethel,No,19800,14923,75.37,13228,66.81,,,12/22/2021
Bethlehem,No,3402,2373,69.75,2180,64.08,,,12/22/2021
Bloomfield,No,21211,17096,80.6,15432,72.75,,,12/22/2021
Bolton,No,4884,3789,77.58,3463,70.9,,,12/22/2021
Bozrah,No,2726,1781,65.33,1664,61.04,,,12/22/2021
Branford,No,27900,22654,81.2,20693,74.17,,,12/22/2021
Bridgeport,Yes,144399,95322,66.01,83760,58.01,,,12/22/2021
Bridgewater,No,1635,1353,82.75,1226,74.98,,,12/22/2021
Bristol,Yes,59947,43872,73.18,40187,67.04,,,12/22/2021
Brookfield,No,16973,13655,80.45,12318,72.57,,,12/22/2021
Brooklyn,No,8272,5471,66.14,4973,60.12,,,12/22/2021
Burlington,No,9704,7525,77.55,6951,71.63,,,12/22/2021
Canaan,No,1053,1265,100,1151,100,,,12/22/2021
Canterbury,No,5079,3343,65.82,3103,61.09,,,12/22/2021
Canton,No,10254,8210,80.07,7547,73.6,,,12/22/2021
Chaplin,No,2239,1476,65.92,1361,60.79,,,12/22/2021
Cheshire,No,28937,24196,83.62,22307,77.09,,,12/22/2021
Chester,No,4213,3242,76.95,2999,71.18,,,12/22/2021
Clinton,No,12925,10945,84.68,9986,77.26,,,12/22/2021
Colchester,No,15809,12252,77.5,11279,71.35,,,12/22/2021
Colebrook,No,1400,1094,78.14,1002,71.57,,,12/22/2021
Columbia,No,5379,4022,74.77,3734,69.42,,,12/22/2021
Cornwall,No,1362,1217,89.35,1070,78.56,,,12/22/2021
Coventry,No,12407,9307,75.01,8656,69.77,,,12/22/2021
Cromwell,No,13839,11877,85.82,10923,78.93,,,12/22/2021
Danbury,Yes,84694,66351,78.34,57387,67.76,,,12/22/2021
Darien,No,21728,19669,90.52,17190,79.11,,,12/22/2021
Deep River,No,4443,3682,82.87,3394,76.39,,,12/22/2021
Derby,Yes,12339,12043,97.6,10012,81.14,,,12/22/2021
Durham,No,7165,5689,79.4,5289,73.82,,,12/22/2021
East Granby,No,5140,4060,78.99,3741,72.78,,,12/22/2021
East Haddam,No,8997,6545,72.75,5879,65.34,,,12/22/2021
East Hampton,No,12800,9708,75.84,8906,69.58,,,12/22/2021
East Hartford,Yes,49872,37367,74.93,33566,67.3,,,12/22/2021
East Haven,Yes,28569,19694,68.93,17984,62.95,,,12/22/2021
East Lyme,No,18462,15762,85.38,14327,77.6,,,12/22/2021
East Windsor,No,11668,8088,69.32,7336,62.87,,,12/22/2021
Eastford,No,1790,1128,63.02,1055,58.94,,,12/22/2021
Easton,No,7521,6106,81.19,5487,72.96,,,12/22/2021
Ellington,No,16467,12397,75.28,11368,69.04,,,12/22/2021
Enfield,Yes,43659,28614,65.54,26076,59.73,,,12/22/2021
Essex,No,6668,5820,87.28,5276,79.12,,,12/22/2021
Fairfield,No,62045,49669,80.05,44399,71.56,,,12/22/2021
Farmington,No,25497,22977,90.12,20904,81.99,,,12/22/2021
Franklin,No,1920,1359,70.78,1257,65.47,,,12/22/2021
Glastonbury,No,34482,30303,87.88,27642,80.16,,,12/22/2021
Goshen,No,2863,2204,76.98,2022,70.63,,,12/22/2021
Granby,No,11507,8742,75.97,8057,70.02,,,12/22/2021
Greenwich,No,62840,51230,81.52,44260,70.43,,,12/22/2021
Griswold,Yes,11534,7207,62.48,6635,57.53,,,12/22/2021
Groton,Yes,38436,25775,67.06,23285,60.58,,,12/22/2021
Guilford,No,22133,19401,87.66,17416,78.69,,,12/22/2021
