Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
Washington,No,3428,3287,95.89,2861,83.46,1655,48.28,05/04/2022
Waterbury,Yes,107568,76547,71.16,68255,63.45,28049,26.08,05/04/2022
Waterford,Yes,18746,16433,87.66,15397,82.13,9796,52.26,05/04/2022
Watertown,No,21578,17055,79.04,15950,73.92,9061,41.99,05/04/2022
West Hartford,Yes,62965,59403,94.34,54664,86.82,35426,56.26,05/04/2022
West Haven,Yes,54620,42227,77.31,38509,70.5,19754,36.17,05/04/2022
Westbrook,No,6869,6057,88.18,5615,81.74,3630,52.85,05/04/2022
Weston,No,10252,9786,95.45,8780,85.64,5694,55.54,05/04/2022
Westport,No,28491,27050,94.94,24201,84.94,15887,55.76,05/04/2022
Wethersfield,No,26008,23261,89.44,21865,84.07,13585,52.23,05/04/2022
Willington,No,5864,4034,68.79,3757,64.07,2356,40.18,05/04/2022
Wilton,No,18343,17622,96.07,15900,86.68,9994,54.48,05/04/2022
Winchester,Yes,10604,7449,70.25,6968,65.71,4087,38.54,05/04/2022
Windham,Yes,24561,17021,69.3,15507,63.14,7811,31.8,05/04/2022
Windsor,No,28733,24720,86.03,22934,79.82,13714,47.73,05/04/2022
Windsor Locks,Yes,12854,9676,75.28,8979,69.85,5305,41.27,05/04/2022
Wolcott,No,16587,12442,75.01,11733,70.74,6330,38.16,05/04/2022
Woodbridge,No,8750,8231,94.07,7616,87.04,5068,57.92,05/04/2022
Woodbury,No,9502,7682,80.85,7222,76.01,4537,47.75,05/04/2022
Woodstock,No,7858,5823,74.1,5314,67.63,3018,38.41,05/04/2022
Address pending validation,,,13488,,11028,,3423,,05/11/2022
Andover,No,3236,2479,76.61,2351,72.65,1501,46.38,05/11/2022
Ansonia,Yes,18654,13288,71.23,12349,66.2,6453,34.59,05/11/2022
Ashford,No,4255,3102,72.9,2913,68.46,1789,42.04,05/11/2022
Avon,No,18276,17667,96.67,16341,89.41,10906,59.67,05/11/2022
Barkhamsted,No,3606,2832,78.54,2675,74.18,1717,47.62,05/11/2022
Beacon Falls,No,6222,4583,73.66,4306,69.21,2631,42.29,05/11/2022
Berlin,No,20436,16376,80.13,15349,75.11,9968,48.78,05/11/2022
Bethany,No,5548,4515,81.38,4237,76.37,2662,47.98,05/11/2022
Bethel,No,19800,16231,81.97,14925,75.38,8475,42.8,05/11/2022
Bethlehem,No,3402,2451,72.05,2291,67.34,1357,39.89,05/11/2022
Bloomfield,No,21211,18229,85.94,16863,79.5,10131,47.76,05/11/2022
Bolton,No,4884,3973,81.35,3766,77.11,2502,51.23,05/11/2022
Bozrah,No,2726,1887,69.22,1771,64.97,1110,40.72,05/11/2022
Branford,No,27900,23576,84.5,21910,78.53,14455,51.81,05/11/2022
Bridgeport,Yes,144399,106253,73.58,93966,65.07,36946,25.59,05/11/2022
Bridgewater,No,1635,1405,85.93,1297,79.33,828,50.64,05/11/2022
Bristol,Yes,59947,46779,78.03,43802,73.07,24242,40.44,05/11/2022
Brookfield,No,16973,14571,85.85,13433,79.14,7832,46.14,05/11/2022
Brooklyn,No,8272,5789,69.98,5325,64.37,3045,36.81,05/11/2022
Burlington,No,9704,7820,80.59,7440,76.67,4776,49.22,05/11/2022
Canaan,No,1053,1343,100,1218,100,746,70.85,05/11/2022
Canterbury,No,5079,3569,70.27,3358,66.12,1876,36.94,05/11/2022
Canton,No,10254,8475,82.65,7941,77.44,5141,50.14,05/11/2022
Chaplin,No,2239,1593,71.15,1486,66.37,898,40.11,05/11/2022
Cheshire,No,28937,25364,87.65,23801,82.25,15740,54.39,05/11/2022
Chester,No,4213,3435,81.53,3228,76.62,2194,52.08,05/11/2022
Clinton,No,12925,11615,89.86,10777,83.38,6904,53.42,05/11/2022
Colchester,No,15809,12902,81.61,12177,77.03,7580,47.95,05/11/2022
Colebrook,No,1400,1137,81.21,1059,75.64,649,46.36,05/11/2022
Columbia,No,5379,4193,77.95,3965,73.71,2559,47.57,05/11/2022
Cornwall,No,1362,1286,94.42,1172,86.05,758,55.65,05/11/2022
Coventry,No,12407,9729,78.42,9230,74.39,5617,45.27,05/11/2022
Cromwell,No,13839,12322,89.04,11586,83.72,7242,52.33,05/11/2022
Danbury,Yes,84694,73211,86.44,64741,76.44,28124,33.21,05/11/2022
Darien,No,21728,20981,96.56,18711,86.11,11027,50.75,05/11/2022
Deep River,No,4443,3871,87.13,3643,81.99,2433,54.76,05/11/2022
Derby,Yes,12339,13280,100,11422,92.57,5859,47.48,05/11/2022
Durham,No,7165,5900,82.34,5603,78.2,3670,51.22,05/11/2022
East Granby,No,5140,4208,81.87,3944,76.73,2340,45.53,05/11/2022
East Haddam,No,8997,7147,79.44,6620,73.58,4130,45.9,05/11/2022
East Hampton,No,12800,10165,79.41,9627,75.21,5954,46.52,05/11/2022
East Hartford,Yes,49872,40647,81.5,37184,74.56,18052,36.2,05/11/2022
East Haven,Yes,28569,20835,72.93,19244,67.36,10900,38.15,05/11/2022
East Lyme,No,18462,16618,90.01,15425,83.55,10341,56.01,05/11/2022
East Windsor,No,11668,8481,72.69,7803,66.88,4414,37.83,05/11/2022
Eastford,No,1790,1161,64.86,1095,61.17,643,35.92,05/11/2022
Easton,No,7521,6556,87.17,6006,79.86,3714,49.38,05/11/2022
Ellington,No,16467,13173,80,12320,74.82,7409,44.99,05/11/2022
Enfield,Yes,43659,30307,69.42,27925,63.96,14967,34.28,05/11/2022
Essex,No,6668,6102,91.51,5695,85.41,4052,60.77,05/11/2022
Fairfield,No,62045,52418,84.48,47770,76.99,29492,47.53,05/11/2022
Farmington,No,25497,24091,94.49,22405,87.87,14579,57.18,05/11/2022
Franklin,No,1920,1439,74.95,1357,70.68,843,43.91,05/11/2022
Glastonbury,No,34482,31625,91.71,29610,85.87,19811,57.45,05/11/2022
Goshen,No,2863,2292,80.06,2155,75.27,1350,47.15,05/11/2022
Granby,No,11507,9050,78.65,8447,73.41,4949,43.01,05/11/2022
Greenwich,No,62840,56604,90.08,49864,79.35,26290,41.84,05/11/2022
Griswold,Yes,11534,7637,66.21,7116,61.7,3887,33.7,05/11/2022
Groton,Yes,38436,27961,72.75,25424,66.15,14716,38.29,05/11/2022
Guilford,No,22133,20261,91.54,18865,85.23,12879,58.19,05/11/2022
Haddam,No,8193,7381,90.09,6949,84.82,4480,54.68,05/11/2022
Hamden,No,60556,46979,77.58,43331,71.56,26293,43.42,05/11/2022
Hampton,No,1842,1266,68.73,1185,64.33,770,41.8,05/11/2022
Hartford,Yes,122105,83063,68.03,73487,60.18,30979,25.37,05/11/2022
Hartland,No,2120,1377,64.95,1282,60.47,705,33.25,05/11/2022
Harwinton,No,5420,4165,76.85,3928,72.47,2473,45.63,05/11/2022
Hebron,No,9504,7638,80.37,7218,75.95,4737,49.84,05/11/2022
Kent,No,2777,2772,99.82,2452,88.3,1342,48.33,05/11/2022
Killingly,Yes,17336,11249,64.89,10339,59.64,5278,30.45,05/11/2022
Killingworth,No,6364,5347,84.02,5050,79.35,3364,52.86,05/11/2022
Lebanon,No,7144,5419,75.85,5115,71.6,3232,45.24,05/11/2022
Ledyard,No,14621,11731,80.23,10864,74.3,6388,43.69,05/11/2022
Lisbon,No,4220,3110,73.7,2925,69.31,1610,38.15,05/11/2022
Litchfield,No,8094,6724,83.07,6220,76.85,4010,49.54,05/11/2022
Lyme,No,2316,2264,97.75,2090,90.24,1479,63.86,05/11/2022
Madison,No,18030,16738,92.83,15499,85.96,10549,58.51,05/11/2022
Manchester,Yes,57584,46462,80.69,42916,74.53,24163,41.96,05/11/2022
Mansfield,No,25487,12020,47.16,10725,42.08,6955,27.29,05/11/2022
Marlborough,No,6335,5239,82.7,4942,78.01,3162,49.91,05/11/2022
Meriden,Yes,59395,47034,79.19,43607,73.42,22443,37.79,05/11/2022
Middlebury,No,7798,6513,83.52,6060,77.71,3713,47.61,05/11/2022
Middlefield,No,4374,3503,80.09,3329,76.11,2172,49.66,05/11/2022
Middletown,Yes,46258,38539,83.31,35937,77.69,21189,45.81,05/11/2022
Milford,Yes,54747,43928,80.24,41003,74.9,25279,46.17,05/11/2022
Monroe,No,19434,16126,82.98,15028,77.33,8853,45.55,05/11/2022
Montville,Yes,18508,13855,74.86,12726,68.76,7077,38.24,05/11/2022
Morris,No,2254,1716,76.13,1587,70.41,925,41.04,05/11/2022
Naugatuck,No,31108,23048,74.09,21290,68.44,10815,34.77,05/11/2022
New Britain,Yes,72495,49138,67.78,45026,62.11,20477,28.25,05/11/2022
New Canaan,No,20233,20379,100,17998,88.95,11064,54.68,05/11/2022
New Fairfield,No,13878,11210,80.78,10183,73.38,5677,40.91,05/11/2022
New Hartford,No,6656,5248,78.85,4933,74.11,3128,47,05/11/2022
New Haven,Yes,130250,99335,76.26,87086,66.86,43593,33.47,05/11/2022
New London,Yes,26858,20192,75.18,18125,67.48,8753,32.59,05/11/2022
New Milford,No,26805,22730,84.8,20898,77.96,11225,41.88,05/11/2022
Newington,No,30014,25393,84.6,23815,79.35,14880,49.58,05/11/2022
Newtown,No,27891,23630,84.72,21957,78.72,13398,48.04,05/11/2022
Norfolk,No,1630,1257,77.12,1156,70.92,764,46.87,05/11/2022
North Branford,No,14146,11953,84.5,11175,79,7062,49.92,05/11/2022
North Canaan,No,3251,2133,65.61,1938,59.61,1136,34.94,05/11/2022
North Haven,No,23683,21978,92.8,20618,87.06,13022,54.98,05/11/2022
North Stonington,No,5196,3610,69.48,3403,65.49,1756,33.8,05/11/2022
Norwalk,Yes,88816,78954,88.9,70484,79.36,36776,41.41,05/11/2022
Norwich,Yes,38768,28871,74.47,26213,67.62,13485,34.78,05/11/2022
Old Lyme,No,7306,6709,91.83,6253,85.59,4256,58.25,05/11/2022
Old Saybrook,No,10061,9646,95.88,9021,89.66,6026,59.89,05/11/2022
Orange,Yes,13926,12495,89.72,11700,84.02,7469,53.63,05/11/2022
Oxford,No,13255,10200,76.95,9544,72,5730,43.23,05/11/2022
Plainfield,Yes,15125,9706,64.17,8993,59.46,4600,30.41,05/11/2022
Plainville,No,17534,13400,76.42,12635,72.06,7484,42.68,05/11/2022
Plymouth,No,11598,7819,67.42,7459,64.31,4230,36.47,05/11/2022
Pomfret,No,4203,3310,78.75,2981,70.93,1709,40.66,05/11/2022
Portland,No,9267,7835,84.55,7443,80.32,4774,51.52,05/11/2022
Preston,No,4625,3476,75.16,3287,71.07,1946,42.08,05/11/2022
Prospect,No,9702,7447,76.76,7055,72.72,4159,42.87,05/11/2022
Putnam,No,9389,6270,66.78,5719,60.91,2931,31.22,05/11/2022
Redding,No,9116,7729,84.78,7038,77.2,4585,50.3,05/11/2022
Ridgefield,No,24959,22787,91.3,20637,82.68,12434,49.82,05/11/2022
Rocky Hill,No,20115,17623,87.61,16414,81.6,10315,51.28,05/11/2022
Roxbury,No,2152,1944,90.33,1794,83.36,1141,53.02,05/11/2022
Salem,No,4083,3382,82.83,3166,77.54,1928,47.22,05/11/2022
Salisbury,No,3600,3904,100,3488,96.89,1787,49.64,05/11/2022
Scotland,No,1672,1058,63.28,1015,60.71,589,35.23,05/11/2022
Seymour,No,16437,12481,75.93,11696,71.16,6363,38.71,05/11/2022
Sharon,No,2689,2066,76.83,1880,69.91,978,36.37,05/11/2022
Shelton,No,41129,33176,80.66,31075,75.55,18537,45.07,05/11/2022
Sherman,No,3630,2748,75.7,2514,69.26,1453,40.03,05/11/2022
Simsbury,No,25395,22739,89.54,21061,82.93,13697,53.94,05/11/2022
Somers,No,10784,7487,69.43,6890,63.89,3809,35.32,05/11/2022
South Windsor,No,26162,23818,91.04,22262,85.09,14190,54.24,05/11/2022
Southbury,No,19571,16476,84.19,15292,78.14,9829,50.22,05/11/2022
Southington,No,43834,35700,81.44,33797,77.1,21041,48,05/11/2022
Sprague,No,2859,1965,68.73,1837,64.25,992,34.7,05/11/2022
Stafford,No,11893,7602,63.92,7064,59.4,4032,33.9,05/11/2022
Stamford,Yes,129638,120808,93.19,105642,81.49,53155,41,05/11/2022
Sterling,No,3782,2122,56.11,1953,51.64,952,25.17,05/11/2022
Stonington,No,18559,15249,82.16,14112,76.04,8386,45.19,05/11/2022
Stratford,No,51849,41328,79.71,38255,73.78,21241,40.97,05/11/2022
Suffield,No,15814,11765,74.4,10767,68.09,5746,36.33,05/11/2022
Thomaston,No,7535,5635,74.78,5318,70.58,3050,40.48,05/11/2022
Thompson,No,9379,5303,56.54,4793,51.1,2430,25.91,05/11/2022
Tolland,No,14618,12140,83.05,11558,79.07,7253,49.62,05/11/2022
Torrington,Yes,34044,26342,77.38,24640,72.38,13768,40.44,05/11/2022
Trumbull,No,35673,32429,90.91,30055,84.25,17927,50.25,05/11/2022
Union,No,839,558,66.51,522,62.22,353,42.07,05/11/2022
Vernon,Yes,29359,23782,81,22141,75.41,12909,43.97,05/11/2022
Voluntown,No,2510,1763,70.24,1661,66.18,886,35.3,05/11/2022
Wallingford,No,44326,37099,83.7,34776,78.46,21652,48.85,05/11/2022
Warren,No,1395,1087,77.92,1007,72.19,601,43.08,05/11/2022
Washington,No,3428,3291,96,2867,83.63,1667,48.63,05/11/2022
Waterbury,Yes,107568,76453,71.07,68421,63.61,28235,26.25,05/11/2022
Waterford,Yes,18746,16450,87.75,15431,82.32,9845,52.52,05/11/2022
Watertown,No,21578,17073,79.12,15963,73.98,9090,42.13,05/11/2022
West Hartford,Yes,62965,59391,94.32,54701,86.88,35521,56.41,05/11/2022
West Haven,Yes,54620,42238,77.33,38577,70.63,19866,36.37,05/11/2022
Westbrook,No,6869,6061,88.24,5620,81.82,3645,53.06,05/11/2022
Weston,No,10252,9793,95.52,8791,85.75,5712,55.72,05/11/2022
Westport,No,28491,27070,95.01,24236,85.07,15949,55.98,05/11/2022
Wethersfield,No,26008,23271,89.48,21877,84.12,13613,52.34,05/11/2022
Willington,No,5864,4041,68.91,3762,64.15,2362,40.28,05/11/2022
Wilton,No,18343,17624,96.08,15918,86.78,10041,54.74,05/11/2022
Winchester,Yes,10604,7458,70.33,6986,65.88,4098,38.65,05/11/2022
Windham,Yes,24561,17019,69.29,15566,63.38,7858,31.99,05/11/2022
Windsor,No,28733,24723,86.04,22966,79.93,13775,47.94,05/11/2022
Windsor Locks,Yes,12854,9672,75.25,8976,69.83,5324,41.42,05/11/2022
Wolcott,No,16587,12443,75.02,11743,70.8,6351,38.29,05/11/2022
Woodbridge,No,8750,8243,94.21,7639,87.3,5086,58.13,05/11/2022
Woodbury,No,9502,7684,80.87,7234,76.13,4559,47.98,05/11/2022
Woodstock,No,7858,5824,74.12,5317,67.66,3031,38.57,05/11/2022
Address pending validation,,,13409,,10970,,3418,,05/18/2022
Andover,No,3236,2482,76.7,2352,72.68,1503,46.45,05/18/2022
Ansonia,Yes,18654,13293,71.26,12365,66.29,6480,34.74,05/18/2022
Ashford,No,4255,3099,72.83,2913,68.46,1799,42.28,05/18/2022
Avon,No,18276,17675,96.71,16351,89.47,10947,59.9,05/18/2022
Barkhamsted,No,3606,2833,78.56,2677,74.24,1713,47.5,05/18/2022
Beacon Falls,No,6222,4586,73.71,4315,69.35,2641,42.45,05/18/2022
Berlin,No,20436,16372,80.11,15374,75.23,10010,48.98,05/18/2022
Bethany,No,5548,4517,81.42,4234,76.32,2667,48.07,05/18/2022
Bethel,No,19800,16240,82.02,14956,75.54,8523,43.05,05/18/2022
Bethlehem,No,3402,2447,71.93,2290,67.31,1357,39.89,05/18/2022
Bloomfield,No,21211,18241,86,16890,79.63,10208,48.13,05/18/2022
Bolton,No,4884,3979,81.47,3772,77.23,2503,51.25,05/18/2022
Bozrah,No,2726,1886,69.19,1772,65,1116,40.94,05/18/2022
Branford,No,27900,23563,84.46,21934,78.62,14524,52.06,05/18/2022
Bridgeport,Yes,144399,106232,73.57,94209,65.24,37215,25.77,05/18/2022
Bridgewater,No,1635,1405,85.93,1297,79.33,832,50.89,05/18/2022
Bristol,Yes,59947,46781,78.04,43825,73.11,24373,40.66,05/18/2022
Brookfield,No,16973,14575,85.87,13445,79.21,7862,46.32,05/18/2022
Brooklyn,No,8272,5793,70.03,5327,64.4,3063,37.03,05/18/2022
Burlington,No,9704,7825,80.64,7450,76.77,4785,49.31,05/18/2022
Canaan,No,1053,1348,100,1222,100,748,71.04,05/18/2022
Canterbury,No,5079,3575,70.39,3362,66.19,1880,37.02,05/18/2022
Canton,No,10254,8454,82.45,7935,77.38,5160,50.32,05/18/2022
Chaplin,No,2239,1596,71.28,1488,66.46,898,40.11,05/18/2022
Cheshire,No,28937,25358,87.63,23809,82.28,15794,54.58,05/18/2022
Chester,No,4213,3451,81.91,3240,76.9,2201,52.24,05/18/2022
Clinton,No,12925,11609,89.82,10797,83.54,6932,53.63,05/18/2022
Colchester,No,15809,12901,81.61,12185,77.08,7610,48.14,05/18/2022
Colebrook,No,1400,1141,81.5,1063,75.93,654,46.71,05/18/2022
Columbia,No,5379,4191,77.91,3963,73.68,2564,47.67,05/18/2022
Cornwall,No,1362,1291,94.79,1174,86.2,761,55.87,05/18/2022
Coventry,No,12407,9733,78.45,9242,74.49,5641,45.47,05/18/2022
Cromwell,No,13839,12324,89.05,11597,83.8,7263,52.48,05/18/2022
Danbury,Yes,84694,73173,86.4,64883,76.61,28263,33.37,05/18/2022
Darien,No,21728,20979,96.55,18736,86.23,11086,51.02,05/18/2022
Deep River,No,4443,3871,87.13,3645,82.04,2438,54.87,05/18/2022
Derby,Yes,12339,13227,100,11423,92.58,5861,47.5,05/18/2022
Durham,No,7165,5907,82.44,5608,78.27,3682,51.39,05/18/2022
East Granby,No,5140,4209,81.89,3948,76.81,2351,45.74,05/18/2022
East Haddam,No,8997,7150,79.47,6622,73.6,4138,45.99,05/18/2022
East Hampton,No,12800,10169,79.45,9635,75.27,5986,46.77,05/18/2022
East Hartford,Yes,49872,40688,81.58,37251,74.69,18178,36.45,05/18/2022
East Haven,Yes,28569,20846,72.97,19266,67.44,10939,38.29,05/18/2022
East Lyme,No,18462,16644,90.15,15456,83.72,10380,56.22,05/18/2022
East Windsor,No,11668,8481,72.69,7816,66.99,4429,37.96,05/18/2022
Eastford,No,1790,1164,65.03,1097,61.28,646,36.09,05/18/2022
Easton,No,7521,6556,87.17,6012,79.94,3721,49.47,05/18/2022
Ellington,No,16467,13156,79.89,12314,74.78,7422,45.07,05/18/2022
Enfield,Yes,43659,30314,69.43,27960,64.04,15046,34.46,05/18/2022
Essex,No,6668,6096,91.42,5694,85.39,4066,60.98,05/18/2022
Fairfield,No,62045,52405,84.46,47829,77.09,29622,47.74,05/18/2022
Farmington,No,25497,24103,94.53,22425,87.95,14634,57.39,05/18/2022
Franklin,No,1920,1439,74.95,1358,70.73,843,43.91,05/18/2022
Glastonbury,No,34482,31624,91.71,29607,85.86,19859,57.59,05/18/2022
Goshen,No,2863,2293,80.09,2154,75.24,1349,47.12,05/18/2022
Granby,No,11507,9056,78.7,8456,73.49,4968,43.17,05/18/2022
Greenwich,No,62840,56620,90.1,49935,79.46,26441,42.08,05/18/2022
Griswold,Yes,11534,7634,66.19,7120,61.73,3902,33.83,05/18/2022
Groton,Yes,38436,27959,72.74,25447,66.21,14783,38.46,05/18/2022
Guilford,No,22133,20248,91.48,18879,85.3,12926,58.4,05/18/2022
Haddam,No,8193,7376,90.03,6948,84.8,4494,54.85,05/18/2022
Hamden,No,60556,47023,77.65,43381,71.64,26410,43.61,05/18/2022
Hampton,No,1842,1266,68.73,1184,64.28,770,41.8,05/18/2022
Hartford,Yes,122105,83099,68.06,73666,60.33,31205,25.56,05/18/2022
Hartland,No,2120,1374,64.81,1279,60.33,705,33.25,05/18/2022
Harwinton,No,5420,4164,76.83,3928,72.47,2476,45.68,05/18/2022
Hebron,No,9504,7650,80.49,7224,76.01,4749,49.97,05/18/2022
Kent,No,2777,2778,100,2453,88.33,1359,48.94,05/18/2022
Killingly,Yes,17336,11259,64.95,10350,59.7,5301,30.58,05/18/2022
Killingworth,No,6364,5344,83.97,5055,79.43,3376,53.05,05/18/2022
Lebanon,No,7144,5411,75.74,5118,71.64,3244,45.41,05/18/2022
Ledyard,No,14621,11731,80.23,10878,74.4,6416,43.88,05/18/2022
Lisbon,No,4220,3117,73.86,2928,69.38,1613,38.22,05/18/2022
Litchfield,No,8094,6719,83.01,6219,76.83,4015,49.6,05/18/2022
Lyme,No,2316,2265,97.8,2093,90.37,1486,64.16,05/18/2022
Madison,No,18030,16736,92.82,15501,85.97,10583,58.7,05/18/2022
Manchester,Yes,57584,46458,80.68,42964,74.61,24252,42.12,05/18/2022
Mansfield,No,25487,12032,47.21,10737,42.13,6971,27.35,05/18/2022
Marlborough,No,6335,5239,82.7,4954,78.2,3180,50.2,05/18/2022
Meriden,Yes,59395,47012,79.15,43658,73.5,22563,37.99,05/18/2022
Middlebury,No,7798,6520,83.61,6072,77.87,3719,47.69,05/18/2022
Middlefield,No,4374,3508,80.2,3329,76.11,2176,49.75,05/18/2022
Middletown,Yes,46258,38556,83.35,35958,77.73,21268,45.98,05/18/2022
Milford,Yes,54747,43948,80.27,41032,74.95,25366,46.33,05/18/2022
Monroe,No,19434,16115,82.92,15026,77.32,8877,45.68,05/18/2022
Montville,Yes,18508,13861,74.89,12737,68.82,7103,38.38,05/18/2022
Morris,No,2254,1712,75.95,1581,70.14,927,41.13,05/18/2022
Naugatuck,No,31108,23059,74.13,21315,68.52,10861,34.91,05/18/2022
New Britain,Yes,72495,49166,67.82,45080,62.18,20635,28.46,05/18/2022
New Canaan,No,20233,20412,100,18034,89.13,11127,54.99,05/18/2022
New Fairfield,No,13878,11216,80.82,10199,73.49,5696,41.04,05/18/2022
New Hartford,No,6656,5242,78.76,4937,74.17,3143,47.22,05/18/2022
New Haven,Yes,130250,99429,76.34,87299,67.02,43879,33.69,05/18/2022
New London,Yes,26858,20213,75.26,18161,67.62,8819,32.84,05/18/2022
New Milford,No,26805,22725,84.78,20918,78.04,11281,42.09,05/18/2022
Newington,No,30014,25390,84.59,23840,79.43,14935,49.76,05/18/2022
Newtown,No,27891,23644,84.77,21991,78.85,13450,48.22,05/18/2022
Norfolk,No,1630,1256,77.06,1156,70.92,765,46.93,05/18/2022
North Branford,No,14146,11949,84.47,11189,79.1,7085,50.08,05/18/2022
North Canaan,No,3251,2131,65.55,1940,59.67,1138,35,05/18/2022
North Haven,No,23683,21973,92.78,20638,87.14,13057,55.13,05/18/2022
North Stonington,No,5196,3609,69.46,3401,65.45,1769,34.05,05/18/2022
Norwalk,Yes,88816,78957,88.9,70652,79.55,37019,41.68,05/18/2022
Norwich,Yes,38768,28883,74.5,26258,67.73,13553,34.96,05/18/2022
Old Lyme,No,7306,6713,91.88,6266,85.77,4272,58.47,05/18/2022
Old Saybrook,No,10061,9641,95.83,9022,89.67,6051,60.14,05/18/2022
Orange,Yes,13926,12499,89.75,11698,84,7476,53.68,05/18/2022
Oxford,No,13255,10197,76.93,9557,72.1,5762,43.47,05/18/2022
Plainfield,Yes,15125,9714,64.22,9001,59.51,4616,30.52,05/18/2022
Plainville,No,17534,13387,76.35,12635,72.06,7507,42.81,05/18/2022
Plymouth,No,11598,7812,67.36,7457,64.3,4244,36.59,05/18/2022
Pomfret,No,4203,3307,78.68,2983,70.97,1720,40.92,05/18/2022
Portland,No,9267,7835,84.55,7446,80.35,4783,51.61,05/18/2022
Preston,No,4625,3478,75.2,3287,71.07,1950,42.16,05/18/2022
Prospect,No,9702,7445,76.74,7066,72.83,4163,42.91,05/18/2022
Putnam,No,9389,6275,66.83,5724,60.96,2951,31.43,05/18/2022
Redding,No,9116,7728,84.77,7038,77.2,4596,50.42,05/18/2022
Ridgefield,No,24959,22790,91.31,20671,82.82,12515,50.14,05/18/2022
Rocky Hill,No,20115,17632,87.66,16425,81.66,10359,51.5,05/18/2022
Roxbury,No,2152,1941,90.2,1791,83.22,1142,53.07,05/18/2022
Salem,No,4083,3388,82.98,3173,77.71,1939,47.49,05/18/2022
Salisbury,No,3600,3907,100,3495,97.08,1795,49.86,05/18/2022
Scotland,No,1672,1059,63.34,1015,60.71,590,35.29,05/18/2022
Seymour,No,16437,12483,75.94,11706,71.22,6392,38.89,05/18/2022
Sharon,No,2689,2066,76.83,1881,69.95,979,36.41,05/18/2022
Shelton,No,41129,33180,80.67,31095,75.6,18592,45.2,05/18/2022
Sherman,No,3630,2748,75.7,2515,69.28,1456,40.11,05/18/2022
Simsbury,No,25395,22750,89.58,21086,83.03,13748,54.14,05/18/2022
Somers,No,10784,7480,69.36,6883,63.83,3828,35.5,05/18/2022
South Windsor,No,26162,23834,91.1,22291,85.2,14251,54.47,05/18/2022
Southbury,No,19571,16484,84.23,15313,78.24,9860,50.38,05/18/2022
Southington,No,43834,35710,81.47,33842,77.2,21134,48.21,05/18/2022
Sprague,No,2859,1967,68.8,1840,64.36,1001,35.01,05/18/2022
Stafford,No,11893,7618,64.05,7076,59.5,4046,34.02,05/18/2022
Stamford,Yes,129638,120753,93.15,105901,81.69,53476,41.25,05/18/2022
Sterling,No,3782,2121,56.08,1952,51.61,954,25.22,05/18/2022
Stonington,No,18559,15260,82.22,14137,76.17,8433,45.44,05/18/2022
Stratford,No,51849,41338,79.73,38311,73.89,21332,41.14,05/18/2022
Suffield,No,15814,11766,74.4,10776,68.14,5770,36.49,05/18/2022
Thomaston,No,7535,5632,74.74,5320,70.6,3059,40.6,05/18/2022
Thompson,No,9379,5304,56.55,4800,51.18,2453,26.15,05/18/2022
Tolland,No,14618,12127,82.96,11565,79.11,7288,49.86,05/18/2022
Torrington,Yes,34044,26354,77.41,24669,72.46,13821,40.6,05/18/2022
Trumbull,No,35673,32415,90.87,30086,84.34,18013,50.49,05/18/2022
Union,No,839,557,66.39,521,62.1,352,41.95,05/18/2022
Vernon,Yes,29359,23769,80.96,22148,75.44,12953,44.12,05/18/2022
Voluntown,No,2510,1764,70.28,1663,66.25,889,35.42,05/18/2022
Wallingford,No,44326,37086,83.67,34780,78.46,21726,49.01,05/18/2022
Warren,No,1395,1086,77.85,1006,72.11,606,43.44,05/18/2022
Washington,No,3428,3300,96.27,2870,83.72,1669,48.69,05/18/2022
Waterbury,Yes,107568,76432,71.05,68547,63.72,28389,26.39,05/18/2022
Waterford,Yes,18746,16464,87.83,15447,82.4,9886,52.74,05/18/2022
Watertown,No,21578,17071,79.11,15976,74.04,9123,42.28,05/18/2022
West Hartford,Yes,62965,59386,94.32,54770,86.98,35677,56.66,05/18/2022
West Haven,Yes,54620,42254,77.36,38624,70.71,19969,36.56,05/18/2022
Westbrook,No,6869,6068,88.34,5628,81.93,3655,53.21,05/18/2022
Weston,No,10252,9785,95.44,8798,85.82,5735,55.94,05/18/2022
Westport,No,28491,27078,95.04,24278,85.21,16011,56.2,05/18/2022
Wethersfield,No,26008,23293,89.56,21894,84.18,13668,52.55,05/18/2022
Willington,No,5864,4038,68.86,3767,64.24,2367,40.36,05/18/2022
Wilton,No,18343,17636,96.15,15944,86.92,10083,54.97,05/18/2022
Winchester,Yes,10604,7467,70.42,6999,66,4118,38.83,05/18/2022
Windham,Yes,24561,17008,69.25,15602,63.52,7889,32.12,05/18/2022
Windsor,No,28733,24728,86.06,22995,80.03,13838,48.16,05/18/2022
Windsor Locks,Yes,12854,9671,75.24,8982,69.88,5337,41.52,05/18/2022
Wolcott,No,16587,12445,75.03,11757,70.88,6369,38.4,05/18/2022
Woodbridge,No,8750,8243,94.21,7639,87.3,5102,58.31,05/18/2022
Woodbury,No,9502,7684,80.87,7246,76.26,4574,48.14,05/18/2022
Woodstock,No,7858,5828,74.17,5321,67.71,3047,38.78,05/18/2022
Address pending validation,,,13311,,10889,,3418,,05/25/2022
